bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
223,4800.000000,58000.000000,703.000000,89500.000000,3500.000000,1600.000000,600.000000,8900.000000,200.000000,4441.000000,500.000000,2500.000000,400.000000,,3400.000000,5200.000000,15100.000000,6000.000000,17300.000000,0.000000
224,12900.000000,119200.000000,400.000000,183600.000000,5600.000000,4600.000000,500.000000,28600.000000,500.000000,2348.000000,700.000000,0.000000,8000.000000,,200.000000,11000.000000,1100.000000,4000.000000,3600.000000,4738.000000
225,9700.000000,16800.000000,1449.000000,23300.000000,800.000000,500.000000,900.000000,38600.000000,200.000000,5421.000000,224.000000,600.000000,12600.000000,,100.000000,10800.000000,1300.000000,6900.000000,300.000000,200.000000
226,0.000000,15500.000000,2281.000000,61000.000000,0.000000,1400.000000,5100.000000,27800.000000,400.000000,1000.000000,0.000000,0.000000,9200.000000,,600.000000,8700.000000,800.000000,5700.000000,700.000000,240.000000
227,0.000000,24000.000000,2980.000000,41700.000000,2800.000000,900.000000,100.000000,83300.000000,,0.000000,0.000000,0.000000,1000.000000,,100.000000,19300.000000,5000.000000,11200.000000,3100.000000,200.000000
228,0.000000,25000.000000,800.000000,74200.000000,300.000000,600.000000,100.000000,18600.000000,0.000000,5000.000000,1400.000000,100.000000,1100.000000,,3600.000000,3900.000000,2900.000000,1400.000000,7100.000000,0.000000
229,900.000000,15000.000000,2594.000000,12300.000000,1400.000000,700.000000,1000.000000,17400.000000,,1400.000000,2000.000000,1400.000000,1400.000000,,400.000000,5100.000000,2400.000000,13600.000000,500.000000,200.000000
230,3000.000000,16900.000000,800.000000,48600.000000,400.000000,1600.000000,2500.000000,29500.000000,0.000000,500.000000,600.000000,2900.000000,100.000000,,700.000000,1900.000000,1800.000000,2500.000000,100.000000,241.000000
231,300.000000,20400.000000,752.000000,10800.000000,700.000000,1100.000000,1100.000000,98700.000000,0.000000,744.000000,0.000000,0.000000,7700.000000,,800.000000,2400.000000,10600.000000,6200.000000,1000.000000,1979.000000
232,1100.000000,22700.000000,1000.000000,21400.000000,6800.000000,700.000000,4500.000000,88900.000000,300.000000,8558.000000,2200.000000,0.000000,1400.000000,,1300.000000,6700.000000,4800.000000,9000.000000,100.000000,21.000000
233,600.000000,13700.000000,0.000000,23400.000000,1600.000000,300.000000,1200.000000,71600.000000,200.000000,1800.000000,0.000000,0.000000,8700.000000,,2400.000000,4600.000000,4200.000000,4500.000000,1700.000000,502.000000
234,1300.000000,26700.000000,3862.000000,41700.000000,600.000000,600.000000,7000.000000,51800.000000,997.000000,3200.000000,0.000000,200.000000,5700.000000,,800.000000,9900.000000,1200.000000,300.000000,500.000000,585.000000
235,25700.000000,11100.000000,3123.000000,65900.000000,2100.000000,1700.000000,7700.000000,29100.000000,0.000000,400.000000,0.000000,0.000000,100.000000,,1700.000000,3200.000000,16300.000000,1200.000000,4300.000000,200.000000
236,14000.000000,36500.000000,1282.000000,121600.000000,5200.000000,3800.000000,3500.000000,80700.000000,0.000000,1887.000000,2336.000000,500.000000,17300.000000,,5400.000000,30700.000000,17200.000000,6300.000000,15900.000000,8253.000000
237,1900.000000,26500.000000,400.000000,64400.000000,2400.000000,1000.000000,400.000000,72400.000000,200.000000,250.000000,222.000000,3200.000000,1500.000000,,1700.000000,4400.000000,6238.000000,1000.000000,800.000000,400.000000
238,3500.000000,46400.000000,5014.000000,95200.000000,1400.000000,700.000000,2600.000000,46300.000000,100.000000,2840.000000,400.000000,1100.000000,500.000000,,900.000000,1800.000000,1300.000000,2400.000000,1700.000000,185.000000
239,1800.000000,33000.000000,1175.000000,26900.000000,700.000000,1700.000000,1000.000000,50400.000000,602.000000,200.000000,0.000000,300.000000,31600.000000,,2300.000000,3100.000000,4700.000000,4700.000000,4000.000000,200.000000
240,1400.000000,46400.000000,2447.000000,77500.000000,500.000000,1700.000000,6800.000000,42200.000000,637.000000,850.000000,,0.000000,0.000000,,2400.000000,5100.000000,600.000000,800.000000,2800.000000,0.000000
241,14600.000000,17800.000000,3833.000000,15100.000000,1800.000000,2100.000000,1800.000000,28100.000000,200.000000,20832.000000,2420.000000,900.000000,13600.000000,,500.000000,2600.000000,300.000000,2000.000000,4600.000000,200.000000
242,11100.000000,22100.000000,4001.000000,19000.000000,300.000000,4000.000000,1000.000000,58400.000000,378.000000,1220.000000,0.000000,300.000000,2100.000000,,1200.000000,6300.000000,1000.000000,1700.000000,15700.000000,2000.000000
243,1600.000000,26200.000000,1400.000000,62100.000000,2400.000000,600.000000,2200.000000,30400.000000,,1220.000000,400.000000,0.000000,2400.000000,,400.000000,3400.000000,400.000000,1700.000000,500.000000,200.000000
244,12900.000000,22500.000000,247.000000,48000.000000,300.000000,600.000000,8800.000000,11700.000000,1124.000000,5731.000000,3900.000000,400.000000,18500.000000,,5400.000000,2700.000000,2200.000000,7300.000000,3000.000000,2671.000000
245,6700.000000,27100.000000,1000.000000,9600.000000,300.000000,2400.000000,1400.000000,28000.000000,600.000000,800.000000,400.000000,2800.000000,12100.000000,,1000.000000,7300.000000,0.000000,4500.000000,2100.000000,600.000000
246,10300.000000,10000.000000,200.000000,31600.000000,600.000000,400.000000,100.000000,47300.000000,314.000000,7199.000000,3171.000000,5300.000000,3200.000000,,300.000000,7000.000000,2600.000000,4100.000000,0.000000,0.000000
247,1500.000000,18000.000000,890.000000,11300.000000,300.000000,6700.000000,700.000000,13800.000000,0.000000,228.000000,200.000000,0.000000,5200.000000,,0.000000,5000.000000,2100.000000,22800.000000,,3300.000000
248,3800.000000,25500.000000,3236.000000,10100.000000,200.000000,700.000000,4500.000000,20100.000000,600.000000,743.000000,215.000000,0.000000,0.000000,,6400.000000,3300.000000,5300.000000,4200.000000,800.000000,1547.000000
249,2500.000000,11700.000000,0.000000,15300.000000,300.000000,1400.000000,3800.000000,8100.000000,0.000000,814.000000,0.000000,3200.000000,0.000000,,1600.000000,4500.000000,400.000000,800.000000,800.000000,235.000000
250,200.000000,14500.000000,0.000000,61800.000000,0.000000,4800.000000,2400.000000,110800.000000,0.000000,500.000000,0.000000,0.000000,900.000000,,1300.000000,3100.000000,2100.000000,9600.000000,1200.000000,0.000000
251,2400.000000,43600.000000,4408.000000,23200.000000,600.000000,700.000000,1200.000000,69800.000000,200.000000,1165.000000,0.000000,100.000000,0.000000,,100.000000,7500.000000,0.000000,3400.000000,100.000000,200.000000
252,0.000000,21200.000000,600.000000,19900.000000,500.000000,1400.000000,4100.000000,76600.000000,200.000000,1677.000000,0.000000,100.000000,700.000000,,800.000000,6600.000000,500.000000,10600.000000,1800.000000,0.000000
253,0.000000,19500.000000,0.000000,13200.000000,800.000000,7200.000000,1100.000000,61700.000000,1952.000000,400.000000,600.000000,0.000000,3000.000000,,0.000000,25100.000000,3862.000000,1700.000000,100.000000,2800.000000
254,100.000000,7400.000000,2404.000000,14100.000000,1500.000000,100.000000,700.000000,33800.000000,400.000000,1876.000000,1977.000000,0.000000,7700.000000,,0.000000,6600.000000,6200.000000,2300.000000,13000.000000,3000.000000
255,0.000000,14600.000000,6751.000000,47800.000000,1500.000000,1100.000000,900.000000,16200.000000,1000.000000,600.000000,0.000000,,2100.000000,,6900.000000,2500.000000,1100.000000,100.000000,10000.000000,5127.000000
256,19600.000000,10700.000000,19858.000000,17900.000000,3000.000000,2000.000000,22600.000000,72600.000000,0.000000,1300.000000,2008.000000,100.000000,18500.000000,,700.000000,1900.000000,6300.000000,11000.000000,34100.000000,200.000000
257,8600.000000,55300.000000,4096.000000,42400.000000,1000.000000,700.000000,2600.000000,53100.000000,240.000000,4774.000000,1200.000000,100.000000,5500.000000,,100.000000,3500.000000,11500.000000,17700.000000,4500.000000,494.000000
258,5300.000000,17900.000000,0.000000,45700.000000,100.000000,1100.000000,3400.000000,29800.000000,0.000000,372.000000,0.000000,0.000000,900.000000,,300.000000,6800.000000,56400.000000,400.000000,6500.000000,0.000000
259,2300.000000,19600.000000,739.000000,63800.000000,300.000000,400.000000,5300.000000,4800.000000,0.000000,5000.000000,0.000000,2800.000000,2500.000000,,1000.000000,1500.000000,8700.000000,3800.000000,100.000000,1169.000000
260,5900.000000,20900.000000,705.000000,58800.000000,100.000000,20700.000000,5100.000000,134100.000000,300.000000,0.000000,0.000000,3300.000000,1400.000000,,8500.000000,10100.000000,15100.000000,4100.000000,0.000000,0.000000
261,16400.000000,10300.000000,327.000000,20200.000000,1300.000000,500.000000,1600.000000,15400.000000,400.000000,5370.000000,0.000000,0.000000,100.000000,,100.000000,4700.000000,30100.000000,8700.000000,2300.000000,741.000000
262,3300.000000,37400.000000,400.000000,39800.000000,100.000000,1200.000000,1400.000000,43300.000000,5202.000000,3069.000000,1800.000000,,900.000000,,0.000000,7500.000000,10800.000000,5400.000000,400.000000,3000.000000
263,300.000000,109500.000000,1185.000000,128100.000000,1500.000000,3000.000000,500.000000,419100.000000,700.000000,0.000000,750.000000,6100.000000,5100.000000,,22700.000000,5800.000000,1300.000000,6200.000000,300.000000,200.000000
264,15300.000000,37900.000000,778.000000,46900.000000,700.000000,1500.000000,400.000000,63400.000000,0.000000,6092.000000,0.000000,300.000000,6500.000000,,8900.000000,3000.000000,2600.000000,9900.000000,5200.000000,2217.000000
265,4900.000000,56400.000000,806.000000,54300.000000,1300.000000,600.000000,6400.000000,213914.000000,0.000000,6358.000000,3095.000000,700.000000,100.000000,,400.000000,3900.000000,5700.000000,26700.000000,1500.000000,200.000000
