bar_index,300348.SZ,300735.SZ,688213.SH,001696.SZ,301363.SZ,301262.SZ,301348.SZ,300002.SZ,688630.SH,688088.SH,688400.SH,300723.SZ,300366.SZ,688766.SH,603103.SH,002920.SZ,603728.SH,300260.SZ,300693.SZ,688091.SH
333,0.000000,160873.000000,70491.560000,152927.000000,14380.000000,31059.000000,20412.000000,1722299.000000,0.000000,22219.560000,0.000000,13594.000000,0.000000,,21855.000000,42290.000000,7798.000000,98360.000000,62963.000000,223284.450000
334,0.000000,531449.000000,145766.020000,493756.000000,,35495.000000,72900.000000,261579.000000,0.000000,5554.000000,0.000000,0.000000,50197.000000,,43740.000000,253766.000000,3898.000000,78275.000000,283115.000000,0.000000
335,51698.000000,302954.000000,26858.240000,436961.000000,0.000000,26618.000000,69984.000000,504576.000000,12280.000000,23433.310000,30907.500000,0.000000,0.000000,,5472.000000,143801.000000,23395.000000,88358.000000,44066.000000,4462.000000
336,672.000000,239273.000000,0.000000,234366.000000,186677.000000,26626.000000,96250.000000,54825.000000,0.000000,13875.000000,0.000000,13608.000000,80598.000000,,4104.000000,186076.000000,39023.000000,68254.000000,23036.000000,6696.000000
337,8052.000000,213785.000000,57217.070000,197319.000000,17274.000000,19969.000000,11680.000000,633893.000000,37028.200000,36719.250000,16501.750000,60271.000000,20503.000000,,1366.000000,76111.000000,109200.000000,138441.000000,14706.000000,0.000000
338,12082.000000,124914.000000,19987.920000,184700.000000,2882.000000,26633.000000,52560.000000,307377.000000,0.000000,38790.000000,4881.000000,27230.000000,707.000000,,50559.000000,109937.000000,7802.000000,44116.000000,63067.000000,0.000000
339,50996.000000,165062.000000,130828.410000,668883.000000,72036.000000,42196.000000,2921.000000,293197.000000,44576.400000,13866.000000,6500.000000,5834.000000,48076.000000,,0.000000,50736.000000,81902.000000,306833.000000,103053.000000,9990.400000
340,55012.000000,376698.000000,140598.930000,562963.000000,118141.000000,6659.000000,20461.000000,99913.000000,75509.400000,50455.700000,9750.000000,13601.000000,15526.000000,,5460.000000,169121.000000,11702.000000,134424.000000,117655.000000,90094.140000
341,24832.000000,397625.000000,37843.000000,1335012.000000,8635.000000,55460.000000,17532.000000,53195.000000,0.000000,51845.410000,14625.000000,5826.000000,23991.000000,,35488.000000,465039.000000,237857.000000,112282.000000,50354.000000,43783.160000
342,71067.000000,537041.000000,25384.020000,466551.000000,11508.000000,11090.000000,52606.000000,193950.000000,28905.980000,36826.590000,9750.000000,7774.000000,23980.000000,,17737.000000,202911.000000,23396.000000,128254.000000,52465.000000,4456.000000
343,0.000000,297965.000000,21712.500000,449388.000000,0.000000,8874.000000,35074.000000,1432568.000000,,63150.300000,0.000000,,13395.000000,,0.000000,76082.000000,3900.000000,98227.000000,0.000000,22280.000000
344,14091.000000,1300287.000000,113424.610000,380898.000000,14375.000000,26626.000000,5843.000000,53108.000000,12394.720000,58623.830000,13008.000000,11668.000000,2821.000000,,24570.000000,50716.000000,23391.000000,54126.000000,16789.000000,13234.320000
345,21456.000000,217545.000000,9660.000000,191521.000000,5754.000000,2218.000000,35065.000000,60495.000000,12281.310000,39148.680000,0.000000,60295.000000,44462.000000,,0.000000,312647.000000,0.000000,114249.000000,14699.000000,0.000000
346,25467.000000,52810.000000,88116.780000,88414.000000,2877.000000,8874.000000,23376.000000,39230.000000,0.000000,16638.000000,4875.000000,3891.000000,84071.000000,,61467.000000,320923.000000,144190.000000,70188.000000,52476.000000,36370.590000
347,0.000000,666883.000000,70362.940000,388386.000000,0.000000,15530.000000,,72735.000000,32101.280000,33286.000000,13008.000000,7780.000000,17675.000000,,32763.000000,118258.000000,0.000000,60166.000000,14698.000000,10452.170000
348,670.000000,936949.000000,318702.490000,441097.000000,100728.000000,17748.000000,8766.000000,169950.000000,0.000000,0.000000,0.000000,1946.000000,3530.000000,,0.000000,92900.000000,0.000000,54112.000000,2100.000000,28164.900000
349,0.000000,293413.000000,133617.500000,313666.000000,,35502.000000,43820.000000,35162.000000,0.000000,8100.080000,16270.000000,7784.000000,54434.000000,,1366.000000,329546.000000,3899.000000,64131.000000,4200.000000,4460.000000
350,74475.000000,505008.000000,106458.410000,448546.000000,2877.000000,13310.000000,2921.000000,13082.000000,0.000000,6128.330000,24403.000000,1945.000000,3530.000000,,0.000000,76038.000000,3898.000000,52128.000000,4198.000000,4458.180000
351,20770.000000,405600.000000,370606.300000,2064919.000000,28760.000000,59865.000000,29210.000000,643773.000000,141286.980000,576607.870000,148080.150000,147812.000000,241435.000000,,34150.000000,50684.000000,120796.000000,206341.000000,182514.000000,31156.000000
352,5360.000000,240611.000000,0.000000,722084.000000,120764.000000,8858.000000,73026.000000,35093.000000,120170.420000,115453.600000,56802.440000,19448.000000,0.000000,,25935.000000,456002.000000,97377.000000,114262.000000,18864.000000,0.000000
353,0.000000,588769.000000,51067.920000,1076162.000000,8633.000000,13282.000000,528823.000000,93052.000000,14715.200000,57643.700000,72129.360000,56281.000000,20446.000000,,46410.000000,363085.000000,46736.000000,80123.000000,27263.000000,11120.000000
354,4020.000000,48550.000000,127699.180000,6793041.000000,143804.000000,2213.000000,40922.000000,54705.000000,0.000000,151700.570000,,0.000000,0.000000,,27300.000000,219546.000000,15582.000000,44046.000000,0.000000,
355,67670.000000,61255.000000,89220.720000,2578710.000000,8623.000000,17697.000000,8763.000000,221260.000000,0.000000,19836.200000,6504.000000,0.000000,0.000000,,58719.000000,684088.000000,54544.000000,80115.000000,2097.000000,9962.160000
356,26169.000000,272501.000000,24179.000000,2163372.000000,51750.000000,6642.000000,500224.000000,101250.000000,122722.600000,5542.000000,6504.000000,0.000000,64865.000000,,84692.000000,67598.000000,23376.000000,3216961.200000,41957.000000,0.000000
357,59731.000000,1170688.000000,0.000000,1201602.000000,5752.000000,13275.000000,17570.000000,91411.000000,22068.000000,536777.280000,0.000000,0.000000,18344.000000,,77940.000000,109817.000000,11689.000000,134000.000000,16790.000000,51394.640000
358,14091.000000,267853.000000,29726.350000,1019917.000000,5750.000000,8846.000000,32230.000000,43286.000000,24520.000000,154757.520000,38590.440000,3878.000000,78364.000000,,10938.000000,118222.000000,167504.000000,163151.000000,10491.000000,26443.300000
